study_ID,temp_init,temp_regime,temp_range,treatment_name_study,mean_temp,min_temp,max_temp,DTR,fluc_type,ramp_type,mean_time,min_time,max_time,trait,trait_def,units,response,sample_size,variance_type,variance_value,qual_measure,ind_pop,order,family,genus,species,LS_treat,LS_measure,vert_invert,plant_animal,lab_wild,lat,long,body_size,thermoregulate,notes,notes2
58,20,0,10,,15,15,15,0,,,44640,44640,44640,Specific Growth Rate,,% d-1,0.2,30,2 (SE),0.03,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,20,20,20,0,,,44640,44640,44640,Specific Growth Rate,,% d-1,0.71,30,2 (SE),0.06,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,25,25,25,0,,,44640,44640,44640,Specific Growth Rate,,% d-1,0.87,30,2 (SE),0.11,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,1,10,,20,15,25,10,2,,480,480,480,Specific Growth Rate,,% d-1,0.73,30,2 (SE),0.07,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,the temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of the test. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,15,15,15,0,,,44640,44640,44640,Feeding Rate,,% body mass d-1,1.69,30,2 (SE),0.07,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,20,20,20,0,,,44640,44640,44640,Feeding Rate,,% body mass d-1,2.62,30,2 (SE),0.1,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,25,25,25,0,,,44640,44640,44640,Feeding Rate,,% body mass d-1,2.59,30,2 (SE),0.12,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,1,10,,20,15,25,10,2,,44640,44640,44640,Feeding Rate,,% body mass d-1,3.03,30,2 (SE),0.11,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,the temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of the test. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,15,15,15,0,,,44640,44640,44640,Feeding Efficiency,,%,11.24,30,2 (SE),1.25,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,20,20,20,0,,,44640,44640,44640,Feeding Efficiency,,%,26.21,30,2 (SE),1.67,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,0,10,,25,25,25,0,,,44640,44640,44640,Feeding Efficiency,,%,29.72,30,2 (SE),4.27,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of experiment. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
58,20,1,10,,20,15,25,10,2,,44640,44640,44640,Feeding Efficiency,,%,24.41,30,2 (SE),2.32,0,0,Cypriniformes,Cyprinidae,Parabramis,pekinensis,0,0,0,1,0,North: 29.9721ç,East: 106.2761ç,1,0,the temperature for the diel fluctuation treatments was 15 and 25 with a 4 hour switch period between them which is why I put ramping. All Treatments were acclimated for 2 weeks at 20oC and then 2 weeks at the treatments select temperature before start of the test. The fish were acclimated for 30 days and then 24 hours of fasting before recording data (44640 minutes).,
67,25,0,10,,20,20,20,0,,,3,3,3,tibia length,,mm,1.87,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"thelytokos strain (parthenogenic, diploid females from unfertilized eggs)",
67,25,0,10,,25,25,25,0,,,3,3,3,tibia length,,mm,1.88,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"thelytokos strain (parthenogenic, diploid females from unfertilized eggs)",
67,25,0,10,,30,30,30,0,,,3,3,3,tibia length,,mm,1.78,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"thelytokos strain (parthenogenic, diploid females from unfertilized eggs)",
67,25,1,10,,25,21,29,8,1,1,3,3,3,tibia length,,mm,1.86,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"thelytokos strain (parthenogenic, diploid females from unfertilized eggs)",
67,25,0,10,,20,20,20,0,,,3,3,3,tibia length,,mm,1.75,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"arrhenotokous strain (sexual reproduction, haploid males from unfertilized eggs)",
67,25,0,10,,25,25,25,0,,,3,3,3,tibia length,,mm,1.83,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"arrhenotokous strain (sexual reproduction, haploid males from unfertilized eggs)",
67,25,0,10,,30,30,30,0,,,3,3,3,tibia length,,mm,1.72,,1,0,Animalia,Hymenoptera,Ichneumonidae,Venturia,canescens,0,0,1,1,0,North: 44ç58?34?,East: 4ç55?66?,,0,1,"arrhenotokous strain (sexual reproduction, haploid males from unfertilized eggs)",
